Train_loss,epoch,step,test_accuracy,test_loss,val_accuracy,val_loss
0.649249792098999,0,49,,,,
0.47178417444229126,0,99,,,,
0.15562158823013306,0,149,,,,
0.32056814432144165,0,199,,,,
0.3862111568450928,0,249,,,,
0.17361021041870117,0,299,,,,
0.32886531949043274,0,349,,,,
0.5683718919754028,0,399,,,,
0.3267015814781189,0,449,,,,
0.2021344006061554,0,499,,,,
0.4231164753437042,0,549,,,,
0.05049000307917595,0,599,,,,
0.17322441935539246,0,649,,,,
0.5079354047775269,0,699,,,,
0.10482680797576904,0,749,,,,
0.24617496132850647,0,799,,,,
0.4166923463344574,0,849,,,,
0.17854472994804382,0,899,,,,
,0,918,,,0.9452381134033203,0.1779087632894516
0.29365769028663635,1,949,,,,
0.1386566311120987,1,999,,,,
0.019752077758312225,1,1049,,,,
0.11149246245622635,1,1099,,,,
0.20525257289409637,1,1149,,,,
0.2604166269302368,1,1199,,,,
0.16779474914073944,1,1249,,,,
0.08840407431125641,1,1299,,,,
0.12056677788496017,1,1349,,,,
0.14640358090400696,1,1399,,,,
0.03908299654722214,1,1449,,,,
0.35807526111602783,1,1499,,,,
0.10153468698263168,1,1549,,,,
0.20679691433906555,1,1599,,,,
0.036140426993370056,1,1649,,,,
0.132911816239357,1,1699,,,,
0.10633573681116104,1,1749,,,,
0.220524862408638,1,1799,,,,
,1,1837,,,0.9563491940498352,0.1479978859424591
0.0997002124786377,2,1849,,,,
0.06558383256196976,2,1899,,,,
0.08284475654363632,2,1949,,,,
0.047607943415641785,2,1999,,,,
0.11522237956523895,2,2049,,,,
0.02008786052465439,2,2099,,,,
0.09661254286766052,2,2149,,,,
0.06826190650463104,2,2199,,,,
0.05570662021636963,2,2249,,,,
0.08440017700195312,2,2299,,,,
0.06120794266462326,2,2349,,,,
0.20103280246257782,2,2399,,,,
0.053628772497177124,2,2449,,,,
0.14916373789310455,2,2499,,,,
0.01007881760597229,2,2549,,,,
0.09024675190448761,2,2599,,,,
0.3565452992916107,2,2649,,,,
0.07188335061073303,2,2699,,,,
0.05536583811044693,2,2749,,,,
,2,2756,,,0.9665079116821289,0.10782774537801743
0.02272436022758484,3,2799,,,,
0.1051589846611023,3,2849,,,,
0.0500594861805439,3,2899,,,,
0.013844192959368229,3,2949,,,,
0.3862038254737854,3,2999,,,,
0.01317551452666521,3,3049,,,,
0.1189209446310997,3,3099,,,,
0.06717702746391296,3,3149,,,,
0.11366452276706696,3,3199,,,,
0.06863956153392792,3,3249,,,,
0.030077394098043442,3,3299,,,,
0.10009618103504181,3,3349,,,,
0.00580462533980608,3,3399,,,,
0.013968592509627342,3,3449,,,,
0.04796045646071434,3,3499,,,,
0.004266375210136175,3,3549,,,,
0.11691079288721085,3,3599,,,,
0.04125746712088585,3,3649,,,,
,3,3675,,,0.9633333086967468,0.1169237568974495
0.0026488727889955044,4,3699,,,,
0.02425471693277359,4,3749,,,,
0.04994447901844978,4,3799,,,,
0.176509290933609,4,3849,,,,
0.020116165280342102,4,3899,,,,
0.012990470044314861,4,3949,,,,
0.10397909581661224,4,3999,,,,
0.013307888992130756,4,4049,,,,
0.02118370682001114,4,4099,,,,
0.006795861292630434,4,4149,,,,
0.011090374551713467,4,4199,,,,
0.03341658040881157,4,4249,,,,
0.03247984126210213,4,4299,,,,
0.009723247028887272,4,4349,,,,
0.011028969660401344,4,4399,,,,
0.14184074103832245,4,4449,,,,
0.14310282468795776,4,4499,,,,
0.009686199016869068,4,4549,,,,
,4,4594,,,0.9633333086967468,0.1322069615125656
,5,4595,0.9682589769363403,0.10229349881410599,,
,5,4595,0.9682589769363403,0.10229349881410599,,
